"plot","old_plot","year","month","day","date","survey_date","start_time1","start_time1.1","end_time1","end_time1.1","type","duration","region","region_code","subregion","subregion_code","zone","cluster","cluster_size","survey_method","Tylercomment","quality1","quality2","quality1_date","quality2_date","prop_surveyed","Selection_Method","Sighting_code","species","group","final_nests","final_centroids","final_decision_comment","Count_Nests_found","Count_Probable_nest","Count_Pairs","Count_Male","Count_Female","Count_Unknown_sex","Incidentals.Off_Plot_Birds_Seen_Y.N","GIS_UTM_ZONE","UTM_SW_Easting","UTM_SW_Northing","UTM_NW_Easting","UTM_NW_Northing","UTM_NE_Easting","UTM_NE_Northing","UTM_SE_Easting","UTM_SE_Northing","plot_area","snow_cover","habitat","X1.Region","X2.Zone","X3.Plot","X4.Area","X5.Land","X6.Elev","X7.Hab","X8.Pgood","X9.Pfair","X10.Ppoor","X12.UniqueZone","X11.UniqueZone","number","plotID","camp"
"COI-IntA","A",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","643_B_R4",NA,NA,"not applicable - final decision","",NA,1,"","October 16, 2019",NA,"field selected","0","WRSA","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,425017.9999,6972094,425317.9999,6972094,425317.9999,6971694,425017.9999,6971694,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"COI-IntA.2006","COI"
"COI-IntB","B",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","699_B_R4",NA,NA,"not applicable - final decision","",NA,2,"","October 16, 2019",NA,"Field Modified GIS selected","0","DUNL","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,423539.9999,6971432,423839.9999,6971432,423839.9999,6971032,423539.9999,6971032,0.12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"COI-IntB.2006","COI"
"COI-IntB","B",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","699_B_R4",NA,NA,"not applicable - final decision","",NA,2,"","October 16, 2019",NA,"Field Modified GIS selected","0","REPH","Shorebirds",2,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,423539.9999,6971432,423839.9999,6971432,423839.9999,6971032,423539.9999,6971032,0.12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"COI-IntB.2006","COI"
"COI-IntB","B",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","699_B_R4",NA,NA,"not applicable - final decision","",NA,2,"","October 16, 2019",NA,"Field Modified GIS selected","0","SESA","Shorebirds",2,0,"EIB: 2 additional SESA  centroids appear to be marked on the plot summary map in 2006_Coats_IntensiveAll.pdf, p. 26.
",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,423539.9999,6971432,423839.9999,6971432,423839.9999,6971032,423539.9999,6971032,0.12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"COI-IntB.2006","COI"
"COI-IntB","B",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","699_B_R4",NA,NA,"not applicable - final decision","",NA,2,"","October 16, 2019",NA,"Field Modified GIS selected","0","WRSA","Shorebirds",2,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,423539.9999,6971432,423839.9999,6971432,423839.9999,6971032,423539.9999,6971032,0.12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"COI-IntB.2006","COI"
"COI-IntC","C",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","492_B_R4",NA,NA,"not applicable - final decision","",NA,2,"","October 16, 2019",NA,"field selected","0","REPH","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,435281.9999,6975976,435581.9999,6975976,435581.9999,6975576,435281.9999,6975576,0.12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"COI-IntC.2006","COI"
"COI-IntC","C",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","492_B_R4",NA,NA,"not applicable - final decision","",NA,2,"","October 16, 2019",NA,"field selected","0","SESA","Shorebirds",3,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,435281.9999,6975976,435581.9999,6975976,435581.9999,6975576,435281.9999,6975576,0.12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"COI-IntC.2006","COI"
"COI-IntD","D",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","538_B_R4",NA,NA,"not applicable - final decision","",NA,2,"","October 16, 2019",NA,"field selected","0","DUNL","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,424348.9999,6975255,424648.9999,6975255,424648.9999,6974855,424348.9999,6974855,0.12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"COI-IntD.2006","COI"
"COI-IntD","D",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","538_B_R4",NA,NA,"not applicable - final decision","",NA,2,"","October 16, 2019",NA,"field selected","0","SESA","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,424348.9999,6975255,424648.9999,6975255,424648.9999,6974855,424348.9999,6974855,0.12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"COI-IntD.2006","COI"
"FISH-IntF","Fish-F",2007,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2017_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2007","October 1, 2019",NA,"field selected","0","PESA","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,504706,7695070,504707,7695470,505007,7695470,505007,7695070,0.12,NA,1,"12.2",6564,69000,0.12,0.12,-5.281612069,1,1,0,0,"126564","12.6564",1,"FISH-IntF.2007","FIS"
"FISH-IntF","Fish-F",2007,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2017_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2007","October 1, 2019",NA,"field selected","0","RNPH","Shorebirds",0,1,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,504706,7695070,504707,7695470,505007,7695470,505007,7695070,0.12,NA,1,"12.2",6564,69000,0.12,0.12,-5.281612069,1,1,0,0,"126564","12.6564",1,"FISH-IntF.2007","FIS"
"FISH-IntG","Fish-G",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","1921_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2008","October 1, 2019",NA,"field selected","0","WHIM","Shorebirds",0,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503810,7694830,503810,7695230,504110,7695230,504110,7694830,0.12,NA,1,"12.2",6488,68743,0.12,0.12,-5.386219813,1,0.986,0,0.014,"126488","12.6488",0,"FISH-IntG.2008","FIS"
"FISH-IntG","Fish-G",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","1921_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2008","October 1, 2019",NA,"field selected","0","PESA","Shorebirds",2,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503810,7694830,503810,7695230,504110,7695230,504110,7694830,0.12,NA,1,"12.2",6488,68743,0.12,0.12,-5.386219813,1,0.986,0,0.014,"126488","12.6488",2,"FISH-IntG.2008","FIS"
"FISH-IntG","Fish-G",2013,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","1921_R12_B_Z",NA,NA,"not applicable - final decision","",NA,1,"","October 1, 2019",NA,"field selected","0","HUGO","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503810,7694830,503810,7695230,504110,7695230,504110,7694830,0.12,NA,1,"12.2",6488,68743,0.12,0.12,-5.386219813,1,0.986,0,0.014,"126488","12.6488",1,"FISH-IntG.2013","FIS"
"FISH-IntG","Fish-G",2007,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","1921_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2007","October 1, 2019",NA,"field selected","0","PESA","Shorebirds",4,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503810,7694830,503810,7695230,504110,7695230,504110,7694830,0.12,NA,1,"12.2",6488,68743,0.12,0.12,-5.386219813,1,0.986,0,0.014,"126488","12.6488",4,"FISH-IntG.2007","FIS"
"FISH-IntG","Fish-G",2013,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","1921_R12_B_Z",NA,NA,"not applicable - final decision","",NA,1,"","October 1, 2019",NA,"field selected","0","STSA","Shorebirds",0,1,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503810,7694830,503810,7695230,504110,7695230,504110,7694830,0.12,NA,1,"12.2",6488,68743,0.12,0.12,-5.386219813,1,0.986,0,0.014,"126488","12.6488",1,"FISH-IntG.2013","FIS"
"FISH-IntG","Fish-G",2010,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","1921_R12_B_Z",NA,NA,"not applicable - final decision","",NA,1,"","October 1, 2019",NA,"field selected","0","WHIM","Shorebirds",1,NA,"G-01-W44(whim)",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503810,7694830,503810,7695230,504110,7695230,504110,7694830,0.12,NA,1,"12.2",6488,68743,0.12,0.12,-5.386219813,1,0.986,0,0.014,"126488","12.6488",NA,"FISH-IntG.2010","FIS"
"FISH-IntG","Fish-G",2010,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","1921_R12_B_Z",NA,NA,"not applicable - final decision","",NA,1,"","October 1, 2019",NA,"field selected","0","STSA","Shorebirds",1,NA,"G-05",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503810,7694830,503810,7695230,504110,7695230,504110,7694830,0.12,NA,1,"12.2",6488,68743,0.12,0.12,-5.386219813,1,0.986,0,0.014,"126488","12.6488",NA,"FISH-IntG.2010","FIS"
"FISH-IntG","Fish-G",2013,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","1921_R12_B_Z",NA,NA,"not applicable - final decision","",NA,1,"","October 1, 2019",NA,"field selected","0","PESA","Shorebirds",1,2,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503810,7694830,503810,7695230,504110,7695230,504110,7694830,0.12,NA,1,"12.2",6488,68743,0.12,0.12,-5.386219813,1,0.986,0,0.014,"126488","12.6488",3,"FISH-IntG.2013","FIS"
"FISH-IntH","Fish-H",2014,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2014","October 1, 2019",NA,"field selected","0","PESA","Shorebirds",2,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503405,7694353,503405,7694753,503705,7694753,503705,7694353,0.12,NA,1,"12.2",6563,68995,0.12,0.100615385,-5.31188488,1,0.991,0,0.009,"126563","12.6563",2,"FISH-IntH.2014","FIS"
"FISH-IntH","Fish-H",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2008","October 1, 2019",NA,"field selected","0","HUGO","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503405,7694353,503405,7694753,503705,7694753,503705,7694353,0.12,NA,1,"12.2",6563,68995,0.12,0.100615385,-5.31188488,1,0.991,0,0.009,"126563","12.6563",1,"FISH-IntH.2008","FIS"
"FISH-IntH","Fish-H",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2008","October 1, 2019",NA,"field selected","0","PESA","Shorebirds",2,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503405,7694353,503405,7694753,503705,7694753,503705,7694353,0.12,NA,1,"12.2",6563,68995,0.12,0.100615385,-5.31188488,1,0.991,0,0.009,"126563","12.6563",2,"FISH-IntH.2008","FIS"
"FISH-IntH","Fish-H",2007,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2007","October 1, 2019",NA,"field selected","0","PESA","Shorebirds",3,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503405,7694353,503405,7694753,503705,7694753,503705,7694353,0.12,NA,1,"12.2",6563,68995,0.12,0.100615385,-5.31188488,1,0.991,0,0.009,"126563","12.6563",3,"FISH-IntH.2007","FIS"
"FISH-IntI","Fish-I",2010,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",NA,1,"","October 1, 2019",NA,"field selected","0","STSA","Shorebirds",2,NA,"I-01, i-02",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503437,7693634,503437,7694034,503737,7694034,503737,7693634,0.12,NA,1,"12.2",6563,69254,0.12,0.102461538,-5.286226052,1,1,0,0,"126563","12.6563",NA,"FISH-IntI.2010","FIS"
"FISH-IntI","Fish-I",2007,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2007","October 1, 2019",NA,"field selected","0","WHIM","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503437,7693634,503437,7694034,503737,7694034,503737,7693634,0.12,NA,1,"12.2",6563,69254,0.12,0.102461538,-5.286226052,1,1,0,0,"126563","12.6563",1,"FISH-IntI.2007","FIS"
"FISH-IntI","Fish-I",2007,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2007","October 1, 2019",NA,"field selected","0","STSA","Shorebirds",3,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503437,7693634,503437,7694034,503737,7694034,503737,7693634,0.12,NA,1,"12.2",6563,69254,0.12,0.102461538,-5.286226052,1,1,0,0,"126563","12.6563",3,"FISH-IntI.2007","FIS"
"FISH-IntI","Fish-I",2013,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2013","October 1, 2019",NA,"field selected","0","WHIM","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503437,7693634,503437,7694034,503737,7694034,503737,7693634,0.12,NA,1,"12.2",6563,69254,0.12,0.102461538,-5.286226052,1,1,0,0,"126563","12.6563",1,"FISH-IntI.2013","FIS"
"FISH-IntI","Fish-I",2013,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2013","October 1, 2019",NA,"field selected","0","STSA","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503437,7693634,503437,7694034,503737,7694034,503737,7693634,0.12,NA,1,"12.2",6563,69254,0.12,0.102461538,-5.286226052,1,1,0,0,"126563","12.6563",1,"FISH-IntI.2013","FIS"
"FISH-IntI","Fish-I",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2008","October 1, 2019",NA,"field selected","0","RNPH","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503437,7693634,503437,7694034,503737,7694034,503737,7693634,0.12,NA,1,"12.2",6563,69254,0.12,0.102461538,-5.286226052,1,1,0,0,"126563","12.6563",1,"FISH-IntI.2008","FIS"
"FISH-IntI","Fish-I",2007,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2007","October 1, 2019",NA,"field selected","0","PESA","Shorebirds",2,1,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503437,7693634,503437,7694034,503737,7694034,503737,7693634,0.12,NA,1,"12.2",6563,69254,0.12,0.102461538,-5.286226052,1,1,0,0,"126563","12.6563",3,"FISH-IntI.2007","FIS"
"FISH-IntI","Fish-I",2013,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Mackenzie","12","Mackenzie Gas Project Affected Areas","12.4","2016_R12_B_Z",NA,NA,"not applicable - final decision","",1,1,"May 1, 2013","October 1, 2019",NA,"field selected","0","LBDO","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",8,503437,7693634,503437,7694034,503737,7694034,503737,7693634,0.12,NA,1,"12.2",6563,69254,0.12,0.102461538,-5.286226052,1,1,0,0,"126563","12.6563",1,"FISH-IntI.2013","FIS"
